Season,GameCode,Team,PlayerID,PlayerName,PIR,IsStarter,IsPlaying,Dorsal,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Plusminus
2023,6,ULK,P002968,"SANLI, SERTAC",-1,0,0,5,06:02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4
2023,6,ULK,P005844,"PAPAGIANNIS, GEORGIOS",13,0,1,9,31:34,15,3,4,3,3,0,0,1,3,4,0,0,1,0,0,4,0,7
2023,6,ULK,P002969,"MAHMUTOGLU, MELIH",0,0,0,10,00:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2023,6,ULK,P008962,"HAYES-DAVIS, NIGEL",-6,1,1,11,30:42,0,0,0,0,7,0,0,0,2,2,0,1,1,0,0,2,1,1
2023,6,ULK,P010560,"PIERRE, DYSHAWN",13,1,1,21,33:01,11,1,5,3,3,0,0,2,4,6,2,0,1,0,1,0,0,-2
2023,6,ULK,P004004,"GUDURIC, MARKO",13,0,0,23,18:38,15,4,4,1,3,4,6,0,1,1,1,0,1,0,0,4,5,0
2023,6,ULK,P009849,"DORSEY, TYLER",13,1,1,27,30:25,15,3,8,3,5,0,0,1,2,3,3,1,1,0,2,2,3,0
2023,6,ULK,P001932,"CALATHES, NICK",-2,0,0,33,07:56,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,7
2023,6,ULK,P011052,"MADAR, YAM",10,1,0,41,13:37,8,3,3,0,1,2,4,0,1,1,2,2,1,0,0,2,3,-4
2023,6,ULK,P011980,"SESTINA, NATHAN",3,0,0,77,08:33,0,0,0,0,1,0,0,0,2,2,1,0,0,1,0,0,0,1
2023,6,MIL,P009960,"POYTHRESS, ALEX",6,0,0,2,12:57,5,1,2,1,2,0,0,0,2,2,0,1,0,0,0,2,2,-6
2023,6,MIL,P006701,"BORTOLANI, GIORDANO",-1,0,0,3,02:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3
2023,6,MIL,P006433,"PANGOS, KEVIN",0,0,1,5,26:31,2,1,4,0,2,0,0,1,1,2,5,0,3,0,0,2,1,0
2023,6,MIL,P006509,"TONUT, STEFANO",8,0,0,7,18:31,3,0,0,1,1,0,0,0,4,4,1,0,0,0,0,1,1,-2
2023,6,MIL,P002849,"MELLI, NICOLO",10,1,0,9,28:12,7,2,4,0,1,3,4,1,4,5,2,1,2,1,0,2,2,6
2023,6,MIL,P011926,"KAMAGATE, ISMAEL",0,0,0,14,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,6,MIL,P001518,"RICCI, GIAMPAOLO",-1,0,0,17,00:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
2023,6,MIL,P005670,"FLACCADORI, DIEGO",3,1,0,21,15:53,3,0,1,1,2,0,0,0,0,0,2,2,1,0,0,2,1,-1
2023,6,MIL,P007831,"SHIELDS, SHAVON",11,1,1,31,37:19,10,1,7,2,6,2,2,0,5,5,4,2,3,0,1,1,5,5
2023,6,MIL,P000796,"MIROTIC, NIKOLA",38,1,1,33,35:43,27,6,9,3,5,6,8,4,7,11,1,2,3,1,0,1,7,-11
