Season,GameCode,Team,PlayerID,PlayerName,PIR,IsStarter,IsPlaying,Dorsal,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Plusminus
2024,1,BER,P012099,"GROSBER, DORIAN",0,0,0,2,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,BER,P008173,"SPAGNOLO, MATTEO",4,0,0,3,16:18,8,4,7,0,2,0,0,0,1,1,2,0,1,0,0,2,1,-6
2024,1,BER,P011934,"WETZELL, YANNI",8,0,0,5,19:03,6,2,6,0,0,2,2,3,4,7,0,0,2,0,0,0,1,-12
2024,1,BER,P008062,"MCDOWELL-WHITE, WILL",12,0,0,7,15:15,13,2,2,3,4,0,0,0,1,1,1,0,1,0,0,1,0,-8
2024,1,BER,P007025,"MATTISSECK, JONAS",1,1,1,9,21:09,6,1,1,1,4,1,1,0,1,1,0,1,0,0,1,4,1,-7
2024,1,BER,P006251,"SCHNEIDER, TIM",0,0,0,10,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,BER,P008780,"HERMANNSSON, MARTIN",18,1,1,15,27:18,12,3,4,1,2,3,4,0,2,2,9,0,3,0,0,2,3,1
2024,1,BER,P006919,"OLINDE, LOUIS",3,1,0,19,25:18,6,2,3,0,7,2,3,1,3,4,1,0,0,0,0,1,2,-10
2024,1,BER,P010791,"KOUMADJE, KHALIFA",18,1,1,21,22:25,8,4,7,0,0,0,0,5,8,13,0,0,1,0,0,1,2,-6
2024,1,BER,P011631,"RAPIEQUE, ELIAS",-1,1,0,25,10:49,2,1,1,0,3,0,0,0,1,1,1,1,1,0,0,2,0,0
2024,1,BER,P012721,"BEAN, JUSTIN",12,0,1,34,18:08,5,1,1,1,1,0,0,1,4,5,1,0,0,0,0,0,1,6
2024,1,BER,P012604,"WILLIAMS, TREVION",8,0,1,50,24:17,11,1,3,3,8,0,0,2,2,4,4,0,2,1,0,3,0,-8
2024,1,PAN,P011209,"KALAITZAKIS, PANAGIOTIS",0,0,0,0,00:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2024,1,PAN,P009622,"BROWN, LORENZO",8,1,0,2,20:11,5,2,3,0,2,1,1,0,2,2,5,0,1,0,0,2,2,15
2024,1,PAN,P001926,"SLOUKAS, KOSTAS",15,0,1,10,16:00,10,1,3,2,5,2,2,0,0,0,5,0,0,0,0,0,5,5
2024,1,PAN,P004088,"OSMAN, CEDI",7,0,0,16,14:39,5,1,1,1,3,0,0,0,1,1,1,1,0,1,0,0,0,-2
2024,1,PAN,P005161,"PAPAPETROU, IOANNIS",0,0,0,21,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,PAN,P011204,"GRANT, JERIAN",11,0,1,22,21:16,10,2,4,2,3,0,0,0,1,1,2,1,0,0,0,1,1,-4
2024,1,PAN,P012774,"NUNN, KENDRICK",15,1,1,25,32:13,16,4,9,1,5,5,5,0,3,3,4,1,0,0,1,2,3,15
2024,1,PAN,P003842,"LESSORT, MATHIAS",23,1,1,26,27:08,14,6,7,0,2,2,2,1,7,8,1,2,0,0,0,1,2,8
2024,1,PAN,P002328,"GRIGONIS, MARIUS",1,1,0,40,17:15,3,0,1,1,4,0,0,1,1,2,1,0,2,0,0,1,2,11
2024,1,PAN,P012712,"HERNANGOMEZ, JUANCHO",12,0,1,41,21:16,11,1,2,3,5,0,0,0,1,1,2,1,0,0,0,0,0,-3
2024,1,PAN,P007866,"MITOGLOU, KONSTANTINOS",8,1,0,44,14:56,5,0,0,1,1,2,2,0,4,4,0,1,0,0,0,3,1,7
2024,1,PAN,P005353,"YURTSEVEN, OMER",10,0,0,77,14:16,8,4,4,0,0,0,0,1,2,3,0,0,0,0,0,1,0,3
2024,2,MCO,P011212,"OKOBO, ELIE",15,0,1,0,25:40,14,3,4,2,6,2,2,0,1,1,4,3,1,0,0,3,2,9
2024,2,MCO,P011231,"BLOSSOMGAME, JARON",7,0,1,4,20:37,7,3,4,0,0,1,2,1,1,2,0,0,0,0,0,1,1,11
2024,2,MCO,P005844,"PAPAGIANNIS, GEORGIOS",6,0,0,9,19:24,7,2,3,1,3,0,0,1,2,3,1,0,1,0,0,1,0,9
2024,2,MCO,P005763,"KORKMAZ, FURKAN",8,1,0,10,14:20,10,3,4,1,2,1,2,0,1,1,0,2,1,0,0,2,1,4
2024,2,MCO,P011226,"DIALLO, ALPHA",26,1,1,11,29:27,20,5,8,2,3,4,5,2,3,5,4,2,1,0,0,3,4,8
2024,2,MCO,P004790,"CORNELIE, PETR",0,0,0,12,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,2,MCO,P002581,"JAITEH, MAM",17,1,1,14,20:36,10,5,6,0,0,0,0,3,4,7,1,0,2,1,0,2,3,4
2024,2,MCO,PLCZ,"MOTIEJUNAS, DONATAS",1,1,0,20,23:31,2,1,6,0,1,0,0,5,3,8,0,0,1,0,0,2,0,7
2024,2,MCO,P012515,"TARPEY, TERRY",0,0,0,22,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,2,MCO,P013365,"BROWN, VITTO",5,0,0,30,06:25,4,1,1,0,2,2,2,2,1,3,0,1,0,0,0,2,1,0
2024,2,MCO,P008099,"STRAZEL, MATTHEW",5,0,1,32,21:26,10,1,1,2,5,2,3,0,0,0,0,0,1,0,0,3,3,4
2024,2,MCO,P005985,"JAMES, MIKE",11,1,0,55,18:34,9,2,3,0,4,5,5,0,1,1,5,0,0,0,1,1,3,9
2024,2,MIL,P006085,"DIMITRIJEVIC, NENO",15,0,1,1,24:04,11,3,6,1,2,2,2,2,4,6,5,0,2,0,0,3,2,-10
2024,2,MIL,P001392,"CAUSEUR, FABIEN",-1,1,0,5,15:25,2,1,4,0,0,0,0,1,2,3,1,1,0,0,1,4,0,-6
2024,2,MIL,P006509,"TONUT, STEFANO",0,0,0,7,04:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2024,2,MIL,P008985,"BOLMARO, LEANDRO",9,1,1,10,22:49,9,3,4,0,2,3,4,0,2,2,3,0,2,0,0,2,3,-5
2024,2,MIL,P013384,"BROOKS, ARMONI",15,0,0,12,15:16,16,2,2,4,5,0,0,0,1,1,0,0,0,0,0,1,0,1
2024,2,MIL,P008987,"LEDAY, ZACH",15,0,0,16,17:52,11,2,3,1,1,4,4,0,1,1,0,0,0,0,0,1,5,-2
2024,2,MIL,P001518,"RICCI, GIAMPAOLO",0,0,0,17,09:46,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,3,0,-6
2024,2,MIL,P013385,"DIOP, OUSMANE",0,0,0,25,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,2,MIL,P007831,"SHIELDS, SHAVON",9,1,1,31,28:19,10,2,5,1,2,3,4,0,2,2,2,1,4,0,0,2,5,-18
2024,2,MIL,P011199,"NEBO, JOSH",8,1,1,32,22:24,7,3,5,0,0,1,3,1,1,2,0,0,1,1,0,0,3,-15
